Model,MAE,RMSE,R2 Score
XGBoost,16193.8232421875,26148.242005916956,0.9108603000640869
Gradient Boosting,17572.956331319972,28318.733182939854,0.8954476475413643
Random Forest,17596.116917808216,28610.7361647965,0.8932803896756585
Linear Regression,20236.406098240874,51392.658758146084,0.6556593157985341
